answer,preprocessing_result,sentimen
jangan terlalu cepat dalam menjelaskan,jangan terlalu cepat jelas,0
"santai, tidak perlu terlalu serius..",santai perlu terlalu serius,0
"jangan terlalu banyak mengeluh, penjelasan materi jangan kecepetan.",jangan terlalu banyak keluh jelas materi jangan kecepetan,0
perbanyak tugas,banyak tugas,0
perbanyak tugas,banyak tugas,0
peranyak tugas,anyak tugas,0
saat mengajar jangan terlalu cepat.,ajar jangan terlalu cepat,0
"jangan terlalu cepat saat menjelaskan materi perkuliahan, contoh diperbanyak.",jangan terlalu cepat jelas materi kuliah contoh banyak,0
ibu ifa dalam mengajar terlalu cepat sehingga mhs kurang memahami materi.,ibu ifa ajar terlalu cepat mhs kurang paham materi,0
jangan terlalu cepat dalam mengajar,jangan terlalu cepat ajar,0
terlalu cepat menjelaskan suatu materi sehingga mhs kewalahan,terlalu cepat jelas suatu materi mhs kewalahan,0
menjelaskannya pelan-pelan saja bu..,jelas pelan bu,0
sebaiknya saat menjelaskan tidak terlalu cepat.,baik jelas terlalu cepat,0
"jangan terlalu cepat, jika materi banyak dan harus mengejar cepat, berikan materi terlebih dahulu.",jangan terlalu cepat materi banyak harus kejar cepat ikan materi lebih,0
jangan terlalu cepat dalam menjelaskan materi.,jangan terlalu cepat jelas materi,0
penyampaian materi jangan terlalu cepat.,materi jangan terlalu cepat,0
jika menjelaskan jangan terlalu cepat.,jelas jangan terlalu cepat,0
jangan terlalu cepat bila mengajar.,jangan terlalu cepat bila ajar,0
jangan terlalu cepat dalam mengajar.,jangan terlalu cepat ajar,0
jangan terlalu cepat saat mengajar.,jangan terlalu cepat ajar,0
jangan terlalu cepat dalam menerangkan.,jangan terlalu cepat terang,0
"tolong ngajarnya agak dipelankan dikit ya bu hehe, terlalu kencang neranginnya hehe.",ngajarnya pelan dikit bu hehe terlalu kencang neranginnya hehe,1
"suka diajar ibu ifa, tolong ditegur ibunya, soalnya sering mengeluh.",suka ajar ibu ifa tegur ibu soal sering keluh,0
Lanjutkan,lanjut,0
Tugas jangan terlalu banyak sering menjelaskan,tugas jangan terlalu banyak sering jelas,0
sebaiknya ngajarnya jangan pake slide bu !,baik ngajarnya jangan pake slide bu,1
"jangan membandingkan dengan orang lain, cukup mengerti keadaan.",jangan banding orang cukup erti,0
"sangat berharap lebih sering dilakukan presentasi oleh mhs, guna mengaktifkan keaktifan mhs.",sangat harap lebih sering laku presentasi mhs aktif aktif mhs,1
lebih banyak contoh soal ya pak.,lebih banyak contoh soal pak,0
OK,,0
Okay,okay,0
semoga lebih baik.... amin,moga lebih baik amin,1
bapak it's the best.,bapak it s the best,1
kalau bisa semua dosen kaya gini...,kalau semua dosen kaya gin,1
"kalau ada yang telat lebih 30 menit, saya sarankan tidak boleh masuk, kalau masuk mengganggu konsentrasi.",kalau yang telat lebih 30 menit saran boleh masuk kalau masuk ganggu konsentrasi,0
semangat ya...,semangat,1
"baik, tingkatkan pak!",baik tingkat pak,1
mungkin contoh-contoh kasus atau materi bisa di jelaskan dengan gambar/video,mungkin contoh kasus materi di jelas gambar video,0
semoga menjadi rektor.,moga jadi rektor,1
"metode presentasinya agak semrawud, ganti metode pengajaran lagi alangkah baiknya.",metode presentasi semrawud ganti metode ajar alangkah baik,0
"Metode belajar kurang menarik, sehingga mahasiswa kurang aktif",metode ajar kurang tarik mahasiswa kurang aktif,0
Sebaiknya lebih dapat memberi contoh yang lumayan familiar,baik lebih beri contoh lumayan familiar,1
Lanjutkan Pak Saya suka cara bapak mengajar,lanjut pak suka cara bapak ajar,0
Lebih baik lagi,lebih baik,1
good,good,0
lebih meningkatkan lagi kualitas mhs yang anda ampu.,lebih tingkat kualitas mhs anda ampu,0
Terima kasih ibu sehat selalu dan selalu baik kepada kami,terima kasih ibu sehat selalu selalu baik kami,1
jangan cuman penjelasan sertakan contoh materi,jangan cuman jelas contoh materi,0
"Terimakasih ibu, walaupun ibu mengajar sedang mengandung",terimakasih ibu walaupun ibu ajar sedang kandung,0
Terimakasih ibu Dewi,terimakasih ibu dewi,0
meningkatkan pembelajaran lebih baik,tingkat ajar lebih baik,0
saya sudah yes!,sudah yes,0
"jelaskan materi dengan baik, nilai jangan pelit-pelit",jelas materi baik nilai jangan pelit,1
"Kuasai kelas lebih baik lagi ya bu, soalnya kalau yang belakang ramai jadi gak konsen, terimakasih",kuasa kelas lebih baik ya bu soal kalau belakang ramai jadi gak konsen terimakasih,1
Soalnya kurang greget,soal kurang greget,0
"jelasinnya yang jelas pak, soal kita kurang jelas apa yang bpk jelaskan,",jelasinnya jelas pak soal kurang jelas apa bpk jelas,0
lanjutkan,lanjut,0
Cepat sembuh bu,cepat sembuh bu,1
kuliahnya kayak dongeng,kuliah kayak dongeng,0
Semangat selalu,semangat selalu,1
no coment.,no coment,1
Semangat bu,semangat bu,1
no coment,no coment,1
sehat terus pak agar memberi nilai baik-baik terus.,sehat terus pak beri nilai baik terus,1
top deh.,top deh,1
lanjutkan pak.,lanjut pak,1
jangan terlalu sibuk pak.,jangan terlalu sibuk pak,0
pak presensi 2 x pak biar puasa gak kuliah pak afan jos....,pak presensi 2 x pak biar puasa gak kuliah pak afan jos,1
datang tepat waktu pak.,datang tepat waktu pak,1
trima kasih bapak,trima kasih bapak,1
jangan datang lambat lagi ya pak.,jangan datang lambat ya pak,1
dalam membagikan hasil uts lebih cepat ya.,bagi hasil uts lebih cepat,1
sangat jelas baiknya,sangat jelas baik,1
Keterlambatan Perlu di tambahkan karena kulia Pagi,lambat perlu tambah kulia pagi,0
Keterlambatan jangan di persulit mhs..banyak tugas apalagi malam pada lembur terus,lambat jangan sulit mhs banyak tugas malam lembur terus,1
Lebih ditingkatkan lagi,lebih tingkat,0
good job,good job,0
sip,sip,0
sip,sip,0
no komen,no komen,1
Allahu akbar...,allahu akbar,0
yakusa,yakusa,0
Jangan keseringan tugas,jangan sering tugas,0
Untuk proses pembelajaran sudah bagus,proses ajar bagus,1
Biasa saja jangan terlalu nekan mahasiswa,biasa jangan terlalu nekan mahasiswa,0
semua sudah cukup baik lebih di tingkatkan lagi,semua cukup baik lebih tingkat,1
Suaranya agak keras bu,suara keras bu,1
Good,good,0
bagus bu,bagus bu,1
Toleransi Kehadiran,toleransi hadir,0
mantap semoga terjaga semangatnya!,mantap moga jaga semangat,1
"Untuk mata kuliah ini, jangan terpacu dengan slide dan lebih memberikan rumus-rumus jitu dan contoh soal, dan dalam proses belajar  ibu dosen mengacu mahasiswa agar semangat belajar",mata kuliah jangan pacu slide lebih beri rumus jitu contoh soal dalam proses ajar ibu dosen acu mahasiswa semangat ajar,0
Jangan pelit nilai ya bu !!!,jangan pelit nilai bu,1
=,,0
Menjelaskannya diberi selingan agar lebih Interaktif,jelas beri seling lebih interaktif,1
T.O.P..!!!,t o p,0
Jangan pelit nilai ya BU,jangan pelit nilai bu,1
Kebanyakan ngomong ceramah saja,banyak ngomong ceramah,1
Datang ke kelas sering telat/terlambat,datang kelas sering telat lambat,1
Keep Spirit Pak Do Your Best !!!,keep spirit pak do your best,1
Jangan lupa kasih nilai A  ssemoga ilmu barokah Pak,jangan lupa kasih nilai a ssemoga ilmu barokah pak,1
Ibu Jos,ibu jos,0
Tingkatkan !!!,tingkat,0
Lanjutkan,lanjut,0
I Love U,i love u,0
Tetap semangat,tetap semangat,1
Nice & Good,nice good,0
Sudah cukup baik dalam hal pengajaran dalam kelas,cukup baik hal ajar kelas,0
Jangan terlalu memanjakan mahasiswa,jangan terlalu manja mahasiswa,0
"lebih baik lagi sama mahasiswa, semangat",lebih baik sama mahasiswa semangat,1
Semangat ibu,semangat ibu,1
Cukup baik mengarah pada kasus kasus nyata yng tengah berkembang di masyarakat,cukup baik arah kasus kasus nyata yng tengah kembang masyarakat,0
Tetap semangat Bu !!!,tetap semangat bu,1
Jika memberi soal jangan terlalu berbeda dengan contohnya ya bu,beri soal jangan terlalu beda contoh bu,0
"Untuk matkul ini, kjepada dosen jangan terlalu fokus dengan apa yng disajikan mhs. saja walaupun kelas sudah diberika,alangkah baiknya Dosen juga memberikan contoh materi yng sedang tenar & menjaga etika mhs.dikelas",matkul kjepada dosen jangan terlalu fokus apa yng saji mhs walaupun kelas diberika alangkah baik dosen beri contoh materi yng sedang tenar jaga etika mhs kelas,0
Dalam menjelaskan jangan terlalu cepat,jelas jangan terlalu cepat,0
Menjelaskan materi terlalu cepat dan singkat,jelas materi terlalu cepat singkat,0
"Jangan mudah marah, jangan mengkritik mahasiswa cecara berlebihan",jangan mudah marah jangan kritik mahasiswa cecara lebih,0
Jangan Judes,jangan judes,0
Semoga kedewasaannya lebih baik,moga dewasa lebih baik,1
Jangan terlalu cepat menjelaskan,jangan terlalu cepat jelas,0
Jangan terlalu cepat kalau mengajar,jangan terlalu cepat kalau ajar,0
jangan telat,jangan telat,0
Jangan terlalu cepat jika mengajar,jangan terlalu cepat ajar,0
Kalau Masuk jangan telat Pak,kalau masuk jangan telat pak,1
Jangan terlalu cepat dalam menjelaskan,jangan terlalu cepat jelas,0
sebaiknya ibu mengajar lebih pelan agar lebih jelas dan dapat diterima,baik ibu ajar lebih pelan lebih jelas dapat terima,0
Kalau sedang menjelaskan mhon untuk pelan-pelan,kalau sedang jelas mhon pelan,0
Jangan terlalu cepat mengajarnya,jangan terlalu cepat ajar,0
Jangan terlalu vepat mengkover slidenya,jangan terlalu vepat kover slidenya,0
Ibu kalo ngajarnmya jangna terlalu cepat ya?,ibu kalo ngajarnmya jangna terlalu cepat,0
Ibu tolong lebih pelan dalam mengajar dan memberikan soal-soal UTS & UAS yang sesuainaterii,ibu lebih pelan ajar beri soal uts uas sesuainaterii,0
Jangan terlalu cepat menerangkan,jangan terlalu cepat terang,0
Kalau mengajar jangan terlalu ceat,kalau ajar jangan terlalu ceat,0
Tapi kalau mengajar janganyan terlalu cepat,kalau ajar janganyan terlalu cepat,0
Jangan terlalu cepat dalam memberi materi model Perkuliahan,jangan terlalu cepat beri materi model kuliah,0
Baik hati,baik hati,1
Tetap semangat Pak Ngajarnya,tetap semangat pak ngajarnya,1
4,4,0
Tingkatkan selalu bu,tingkat selalu bu,1
Dosen baik tidak banyak bertelatele ,dosen baik banyak bertelatele,1
Sangat Baik,sangat baik,1
sangat seru,sangat seru,1
jangan sering nesu pak,jangan sering nesu pak,1
kalau mengajar jangan terlalu cepat ya bu...,kalau ajar jangan terlalu cepat bu,0
"- bu, mengajarnya ditulis dipapan tulis saja, jangan pakai slide.- mengajarnya jangan terlalu cepat.",- bu ajar tulis papan tulis jangan pakai slide - ajar jangan terlalu cepat,0
diharapkan kpd ibu kalau mengajar jangan terlalu cepat karena kami kurang bisa memahami apa yang ibu sampaikan.,harap kpd ibu kalau ajar jangan terlalu cepat kami kurang paham apa ibu,0
Kalau datang tepat waktu buk..jangan PHP nuk..,kalau datang tepat waktu buk jangan php nuk,0
"1. jagan buru-buru kalau mengajar.2. beri kesempatan mencatat.3. lebih baik mencatat/diterangkan dg menulis di papan tulis, karena perhitungan tidak mdah jika hanya melihat di layar lcd",1 jagan buru kalau ajar 2 beri sempat catat 3 lebih baik catat terang dg tulis papan tulis hitung mdah hanya lihat layar lcd,1
Materi disesuaikan dengan kelas lain sehingga terjadi meis ketika ujian,materi sesuai kelas sehingga jadi meis uji,1
Sudah cukup baik,cukup baik,1
Ditingkatkan sistem belajar,tingkat sistem ajar,0
dalam menjelaskan lebih baik perlahan namun mhs mengerti.,jelas lebih baik perlahan mhs erti,1
jangan terlalu cepat dalam menjelaskan materi dan tolong lebih perbanyak contoh soal.,jangan terlalu cepat jelas materi tolong lebih banyak contoh soal,0
poin no 6 tidak pernah karena ber bentuk soffile,poin no 6 pernah ber bentuk soffile,0
"bu, kalo ngajar mohon jangan terlalu cepat menjelaskannya, karena ga' semua siswa bisa cepat paham, semua siswa kan kemampuannya berbeda-beda. maaf ya bu, teorinya dikit aja tapi banyakin ngerjain contoh dan kalo ada yg ga' paham mohon diulangi ya bu. makasih maaf sebelumnya.",bu kalo ngajar mohon jangan terlalu cepat jelas ga semua siswa cepat paham semua siswa kan mampu beda maaf bu teori dikit aja banyakin ngerjain contoh kalo yg ga paham mohon ulang bu makasih maaf,0
"kalau menjelaskan cepat-cepat, ketika mengajar jangan suka menunjuk-nunjuk karena membuat kita tidak nyaman dah tidak fokus dalam mengikuti pelajaran",kalau jelas cepat ajar jangan suka tunjuk buat nyaman dah tidak fokus ikut ajar,0
Lebih interaktif dg mahasiswa..seringkan menggunakan bhs inggris.,lebih interaktif dg mahasiswa sering bhs inggris,1
"buk jangan terlalu cepat, karena belum sempat mencatat dan memahaminya.",buk jangan terlalu cepat belum sempat catat paham,0
jangan terlalu cepat bu!! belum dong matematika itu sulit.,jangan terlalu cepat bu dong matematika sulit,0
"bu janga cepat-cepat neranginnya dan jangan nunjuk gitu aja, jadi kitanya deg-degan terus gak fokus deh.",bu janga cepat neranginnya jangan nunjuk gitu aja jadi deg-degan terus gak fokus deh,0
semoga dalam menjelaskan lebih lambat agar bisa mencatat dahulu.,moga jelas lebih lambat bisa catat,0
harus ditingkatkan kembali,tingkat,0
jangan terlalu cepat bu.,jangan terlalu cepat bu,0
memberikan matrikadang terlalu cepat.,beri matrikadang terlalu cepat,0
jangan terlalu cepat mengganti slide bu..,jangan terlalu cepat ganti slide bu,0
lebih pelan saat menerangkan jangan terlalu cepat.,lebih pelan terang jangan terlalu cepat,0
saya harap ibu jangan terlalu cepat ngajarnya soalnya gak ngerti kalau cepat seperti itu belum lagi matakuliah MTK kan susah dipahami kalau cepat seperti itu bu...,harap ibu jangan terlalu cepat ngajarnya soal gak ngerti kalau cepat itu lagi matakuliah mtk kan susah paham kalau cepat itu bu,0
tolong diperbanyak soal dan pembahasan,banyak soal bahas,0
"sukses bu, keep smile",sukses bu keep smile,1
lebih diperjelas lagi saat menerangkan.,lebih jelas saat terang,1
jangan terlalu cepat.,jangan terlalu cepat,0
lebih menghargai fasilitas yang diberikan oleh kampus.,lebih harga fasilitas beri kampus,1
jangan terlalu cepat aja bu..,jangan terlalu cepat aja bu,0
pertahankan bu.,tahan bu,0
semoga nilainya bagus?,moga nilai bagus,1
semangat nilainya ditambah.,semangat nilai tambah,1
jangan pelit nilai!!!,jangan pelit nilai,1
mudahin nilai ya bu..,mudahin nilai bu,1
"mudahkan nilai kami ya, bu...",mudah nilai ya bu,1
Membuat soal terlalu berbelit.,buat soal terlalu belit,0
well done !!!,well done,0
keep a smile from your ,keep a smile from your,0
joss...,joss,0
tingkatkan terus potensi mengajar,tingkat terus potensi ajar,0
Alhamdulillah.,alhamdulillah,0
semoga menjadi rektor,moga jadi rektor,1
semoga menjadi rektor,moga jadi rektor,1
joss bu..,joss bu,0
lebih tegas apalagi dengan mhs yg TA,lebih tegas dengan mhs yg ta,0
suaranya diperkeras lagi ta pak... kalau dikasih tugas diperjelas lagi pak...,suara keras ta pak kalau kasih tugas jelas pak,1
"kalau di suruh buat tugas di elearning tolong di perjelas lagi pak, tugas di elearning sering bermasalah suara pada saat dijelaskan kurang jelas pak.",kalau suruh buat tugas elearning jelas pak tugas di elearning sering masalah suara saat jelas kurang jelas pak,0
terimakasih bpk dosen,terimakasih bpk dosen,0
kurang paham,kurang paham,0
"jelasinnya yang jelas ya pak, soalnya kami kurang jelas apa yang bpk jelaskan.",jelasinnya jelas pak soal kurang jelas apa bpk jelas,0
jangan pelit nilai,jangan pelit nilai,1
contoh program diperbanyak.,contoh program banyak,0
lebih ditingkatkan dalam mengajar agar mahasiswa lebih cepat memahami,lebih tingkat ajar mahasiswa lebih cepat paham,0
contoh program lansung diberikan  demo saja langsung biar cepat ngerti.,contoh program lansung beri demo langsung biar cepat ngerti,0
Ibu jangan terlalu banyak kata mutiara karena materi kgk semua tersampaikan,ibu jangan terlalu banyak kata mutiara materi kgk semua,0
"agar lebih memperhatikan mhsnya, jgn asik menjelaskan saja, tanpa memberi tanggapan kepada mhs.",lebih perhati mhsnya jgn asik jelas tanpa beri tanggap mhs,0
sebaiknya dalam menjelaskan materi pemrograman web alangkah baiknya dosen pengampu langsung terjun ke pemrogramannya tidak hanya fokus ke teori saja.,baik jelas materi pemrograman web alangkah baik dosen ampu langsung terjun pemrogramannya hanya fokus teori,0
sarang hae,sarang hae,0
"kalau kuliah ngerjainnya jangan hanya sesuai materi pak, tapi dijelaskan lagi, jangan hanya materi, tetapi langsung dipraktekkan biar mhs lebih paham materi yg disampaikan.",kalau kuliah ngerjainnya jangan sesuai materi pak jelas jangan materi langsung praktek biar mhs lebih paham materi yg,0
no coment :) Ibu keren,no coment ibu keren,1
thanks for everything Bu.. we love you,thanks for everything bu we love you,0
alangkah baiknya dalam pembelajaran dilakukan dengan prakteknya juga supaya lebih paham.,alangkah baik ajar laku praktek supaya lebih paham,0
kurang praktek langsung didalam kelas,kurang praktek langsung kelas,0
 IBU the best,ibu the best,0
good job semoga nilai aman,good job moga nilai aman,1
-katrol Bu,-katrol bu,0
ibu baik banget,ibu baik banget,1
Untuk materi dan contoh soal diperjelas lagi bu,materi contoh soal jelas bu,0
Lebih mengeraskan suara ya bu,lebih keras suara bu,1
Lanjutkan buk,lanjut buk,0
Thank bu yang baik hatinya salut dengan kesabaran ibu cukup baik dalam pengajaran,thank bu baik hati salut sabar ibu cukup baik ajar,1
Jangan terlalu ketat dengan Nilai,jangan terlalu ketat nilai,0
Ibunya sangat baik dan penyampaian materi lebih mudah di mengerti,ibu sangat baik sampai materi lebih mudah erti,1
Suara saat menjelaskan dikeraskan dan di Perjelas,suara jelas keras di jelas,0
semoga dpt ditingkatakan,moga dpt ditingkatakan,1
"Suaranya agak dikeraskan dikit Buk,karena yang di belakang kurang kedengaran",suara keras dikit buk yang belakang kurang dengar,0
pertahankan dan juga keakraban dengan mhsw,tahan juga akrab mhsw,0
semangat terus,semangat terus,1
Leboh diperhatikan mhs. yang masih kurang mengerti,leboh perhati mhs masih kurang erti,0
Cara menyampaikan materi kurang keras (jelas),cara materi kurang keras jelas,0
Mohom diperjelas lagi jika ada contoh soal,mohom jelas jika contoh soal,0
Bu bagaimana kalo kuliahnya diganti senin jam 3&4 biar puasa gak kuliah siang,bu bagaimana kalo kuliah ganti senin jam 3 4 biar puasa gak kuliah siang,0
Semangat Bu,semangat bu,1
kalo bisa tolong dihubungi sampai 2 kali,kalo tolong hubung 2 kali,0
