"komentar","sentimen","preprocessing_result"
"Cara penyampaiannya kurang berinteraksi dengan mahasiswa sehingga mhs.jenuh dan bosan .materinya jarang yang masuk ke otak atau nyantel ke otak","0","cara sampai kurang interaksi dengan mahasiswa sehingga mhs jenuh dan bosan materi jarang yang masuk ke otak atau nyantel ke otak"
"agar lebih baik dan sering memberi","0","agar lebih baik dan sering beri"
"Cara menjelaskan dibuat lebih menarik lg agar tdk cepat bosan dan jenuh.","0","cara jelas buat lebih tarik lg agar tdk cepat bosan dan jenuh"
"Agar lebih bervariasi agar mhs tdk ngantuk.","0","agar lebih variasi agar mhs tdk ngantuk"
"Tugas akhirnya terlalu ngeri","0","tugas akhir terlalu ngeri"
"Pada saat menerangkan materi lebih baik di jelaskan dari awal kenapa bisa seperti itu dsb. jangan langsung menjelaskan ke intinya kadang-kadang hal tersebut susah untuk dimengerti mahasiswa","0","pada saat terang materi lebih baik di jelas dari awal kenapa bisa seperti itu dsb jangan langsung jelas ke inti kadang hal sebut susah untuk erti mahasiswa"
"Terus jadi dosen terbaik buat mhsnya buuuu.....","0","terus jadi dosen baik buat mhsnya buuuu"
"Harap Nilainya Bagus","0","harap nilai bagus"
"Dosen kurang kompeten karena itu nilai UTS kami tidak memuaskan","0","dosen kurang kompeten karena itu nilai uts kami tidak muas"
"Sangat baik dlm mengajar mhsnya.","0","sangat baik dlm ajar mhsnya"
"Kalau mengajar harap suara lebih keras","0","kalau ajar harap suara lebih keras"
"Tambah lg tugasnya bu, sangat baik dlm mengajar dan penuh perhatian.","0","tambah lg tugas bu sangat baik dlm ajar dan penuh perhati"
"Bapak harus lebih jelas lagi saat menerangkan didepandan lebih tepat waktu saat masuk kelas","0","bapak harus lebih jelas lagi saat terang didepandan lebih tepat waktu saat masuk kelas"
"Jooss","0","jooss"
"Contoh soalnya diperbanyak lg agar mhs benar2 mengerti.","0","contoh soal banyak lg agar mhs benar2 erti"
"Susah untuk diungkapkan dengan kata2, coba anda rasakan sendiri saat diajar oleh dosen ini","0","susah untuk ungkap dengan kata2 coba anda rasa sendiri saat ajar oleh dosen ini"
"Dalam penyampaian meteri agar lebih jelas dan memperbanayak fariasi2","0","dalam sampai meter agar lebih jelas dan memperbanayak fariasi2"
"menjelaskazn dengan menggunaka  contoh dasar terlebih dahulu baru menggunakan contoh yang rumit/tingkat yang lebih tinggi","0","menjelaskazn dengan menggunaka contoh dasar lebih dahulu baru guna contoh yang rumit tingkat yang lebih tinggi"
"Pada saat penjelasanmateri tidak fokus pada satu induvidu dan memperhatikan mhs. yang belum mengerti","0","pada saat penjelasanmateri tidak fokus pada satu induvidu dan perhati mhs yang belum erti"
"Lebih baik dosen mngembalikan tugas ynd sudah dikoreksi sehingga mahasiswa dapat mengetahui dan mengajukan pertanyaan pada saat yng dusah kurang mengerti","0","lebih baik dosen mngembalikan tugas ynd sudah koreksi sehingga mahasiswa dapat tahu dan aju tanya pada saat yng dusah kurang erti"
"keren sekali gokil gan","0","keren sekali gokil gan"
"Pak Afan Terbaik","0","pak afan baik"
"Asal Bapaknya kalem, oke lah","2","asal bapak kalem oke lah"
"kurangi ancaman","0","kurang ancam"
"Tingkatkan cara mengajarnya","0","tingkat cara ajar"
"agar menyesuaikan cara mengajar dengan mahasiswa masa kini","0","agar sesuai cara ajar dengan mahasiswa masa kini"
"cara mengajarnya sangat keren secara otomatis buat mahasiswa mengejar target","0","cara ajar sangat keren cara otomatis buat mahasiswa kejar target"
"Buat kami lebih enjoy saat pelajaran bapak","0","buat kami lebih enjoy saat ajar bapak"
"saat memberi contoh dimohon lebih jelas","0","saat beri contoh mohon lebih jelas"
"jangan terpaku pada powerpoint","0","jangan terpa pada powerpoint"
"lebih diperjelas saat memberi materi","0","lebih jelas saat beri materi"
"penjelasan lebih diperjelas dan diperbanyak memberi contoh","0","jelas lebih jelas dan banyak beri contoh"
"kurang tegas dalam menjelaskan dan sering plin plan","0","kurang tegas dalam jelas dan sering plin plan"
"dimohon lebih menguasai materi","0","mohon lebih kuasa materi"
"jangan gugup saat mengajajar dan dimohon lebih menguasai materi","0","jangan gugup saat mengajajar dan mohon lebih kuasa materi"
"dimohon lebih tegas dan bisa menguasai kelas","0","mohon lebih tegas dan bisa kuasa kelas"
"model mengajar jangan monoton","0","model ajar jangan monoton"
"saat menjelaskan jangan hanya terpaku di slide","0","saat jelas jangan hanya terpa di slide"
"saat menjelaskan jangan terburu - buru ","0","saat jelas jangan buru - buru"
"saat menerangkan materi dimohon lebih jelas","0","saat terang materi mohon lebih jelas"
"kurang jelas saat menjelaskan","0","kurang jelas saat jelas"
"kurang konsisten dalam menjelaskan materi","0","kurang konsisten dalam jelas materi"
"lumayan","0","lumayan"
"dimohon untuk memperbaiki cara mengajar","0","mohon untuk baik cara ajar"
"good","2","good"
"diperjelas saat mengajar dan jangan terburu buru","0","jelas saat ajar dan jangan buru buru"
"jangan mudah marah","0","jangan mudah marah"
"mohon untuk diubah cara mengajarnya","0","mohon untuk ubah cara ajar"
"tetap sabar bu","0","tetap sabar bu"
"lebih semangat lagi saat mengajar","0","lebih semangat lagi saat ajar"
"good job","2","good job"
"kadang hidup di atas kadang hidup itu di bawah kita syukuri nikmat yang ada","0","kadang hidup di atas kadang hidup itu di bawah kita syukur nikmat yang ada"
"penjelasan jangan cepat - cepat","0","jelas jangan cepat - cepat"
"jangan terlalu cepat menjelaskan","0","jangan terlalu cepat jelas"
"kece punya, sekalikali libur dong buk","0","kece punya sekalikali libur dong buk"
"Jos maknyos","2","jos maknyos"
"semangat bu","0","semangat bu"
"jangan mudah ngambek","0","jangan mudah ngambek"
"good","2","good"
"good job","2","good job"
"Fighting Ibu","0","fighting ibu"
"Soal UAS jangan susah ya Pak Open Book aja","0","soal uas jangan susah ya pak open book aja"
"gunakan materi lebih banyak saat kelompok melakukan Presentasi sehingga Mahasiswa Minat mengikuti mata kuliah tersebut","0","guna materi lebih banyak saat kelompok laku presentasi sehingga mahasiswa minat ikut mata kuliah sebut"
"Mohon babaknya jikalau mengajar berurutan sesuai SAP","0","mohon babak jikalau ajar rurut sesuai sap"
"seharusnya Dosen lebih komunikatif dan mampu memberi kesan menarik dari materi yang disampaikan","0","harus dosen lebih komunikatif dan mampu beri kesan tarik dari materi yang sampai"
"Pengajaranya baik","0","pengajaranya baik"
"Semoga kedepannya lebih baik lagi","0","moga depan lebih baik lagi"
"Dalam menjelaskan rumus tidak membuat cepat paham","0","dalam jelas rumus tidak buat cepat paham"
"Terima kasih, maaf pak untuk materi tolong di upload di elearning","0","terima kasih maaf pak untuk materi tolong di upload di elearning"
"Tingkatkan kinerja bapak dalam belajar, semangat pak","0","tingkat kerja bapak dalam ajar semangat pak"
"Kisi-kisi saat ujian mohon diberikan","0","kisi saat uji mohon beri"
"Semangat terus tingkatkan kinerja? soal ujian jangan yang susah pak","0","semangat terus tingkat kerja soal uji jangan yang susah pak"
"Bapak sangat baik dalam menyampaikan materi","0","bapak sangat baik dalam sampai materi"
"Good job","2","good job"
"Jika menjelaskan harus disertai contoh soal dan jangan sering terlambat 30 menit","0","jika jelas harus serta contoh soal dan jangan sering lambat 30 menit"
"Penjelasannya jangan terlalu cepat","0","jelas jangan terlalu cepat"
"Sering telat Masuk kelas hingga 30 menit","0","sering telat masuk kelas hingga 30 menit"
"Jangan terlalu mempersulit mahasiswa","0","jangan terlalu sulit mahasiswa"
"Mohon jelaskan materi lebih rinci lagi, tolong datang lebih tepat waktu","0","mohon jelas materi lebih rinci lagi tolong datang lebih tepat waktu"
"Harap memberikan kisi-kisi yang sesuai sebelum dilaksanakan UAS agar kita mudah untuk belajar","0","harap beri kisi yang sesuai belum laksana uas agar kita mudah untuk ajar"
"Lebih banyak latihan soal","0","lebih banyak latih soal"
"Lebih interaktif aja","0","lebih interaktif aja"
"Good job tingkatkan","2","good job tingkat"
"Good disiplin , bikin semangat belajar","0","good disiplin bikin semangat ajar"
"Good","2","good"
"Jangan sesuka hati merubah jadwal, kami kuliah jauh, jam perjalanan","0","jangan suka hati rubah jadwal kami kuliah jauh jam jalan"
"Kedisiplinan waktu yang diterapkan di kelas IMK Sangat efisien bagi semangat mahasiswa","0","disiplin waktu yang terap di kelas imk sangat efisien bagi semangat mahasiswa"
"kurangi bercandanya supaya materi bisa selesai","0","kurang canda supaya materi bisa selesai"
"jangan terlalu cepat saat menjelaskan","0","jangan terlalu cepat saat jelas"
"dosen  sering terlambat","0","dosen sering lambat"
"kurang tepat waktu","0","kurang tepat waktu"
"metode mengajar dimohon lebih bervariasi","0","metode ajar mohon lebih variasi"
"lenih delas lagi dalam penyampaian materi","0","lenih delas lagi dalam sampai materi"
"jangan cuek sama mahasiswanya pak","0","jangan cuek sama mahasiswa pak"
"cara mengajar jangan monoton supaya lebih menarik minat belajar mahasiswa ","0","cara ajar jangan monoton supaya lebih tarik minat ajar mahasiswa"
"Mengajarnya kurang seru membosankan bikin ngantuk.","0","ajar kurang seru bosan bikin ngantuk"
"Diharapkan selalu hadir tatap muka dengan mahasiswa, materi kalau bisa bahasa Indonesia","0","harap selalu hadir tatap muka dengan mahasiswa materi kalau bisa bahasa indonesia"
"Cantik tp nilai jgn pelit ya bu..","0","cantik tp nilai jgn pelit ya bu"
"OK..!!","2","ok"
"Butuh dosen spt ini...","0","butuh dosen spt ini"
"Congratssss","0","congratssss"
"Jangan sampai ngulang luluskan sudah pingin wisuda","0","jangan sampai ngulang lulus sudah pingin wisuda"
"Terima kasih bu...","0","terima kasih bu"
"cara mengajar meningkatkan niat belajar kami","0","cara ajar tingkat niat ajar kami"
"Tetap Semangat ya bu tambah istiqomah.","0","tetap semangat ya bu tambah istiqomah"
"Suaranya lebih lantang saja..","0","suara lebih lantang saja"
"Ujianya Kalau bisa open book pak","0","ujianya kalau bisa open book pak"
"Semangat Selalu","0","semangat selalu"
"Sistem pengajaranya sangat bagus dan dapat menumbuhkan semangat","0","sistem pengajaranya sangat bagus dan dapat tumbuh semangat"
"Semangat bapak lanjutkan","0","semangat bapak lanjut"
"Semoga Lebih baik ,,, Amin","0","moga lebih baik amin"
"Good Lanjutkan","2","good lanjut"
"Mantap","2","mantap"
"Mantap Jiwa","2","mantap jiwa"
"Ok BOSS","2","ok boss"
"Mantap Lurr","2","mantap lurr"
"bapak terlalu pilih-pilih","0","bapak terlalu pilih"
"Soal ujian jangan susah susah Tingkatkan kinerja","0","soal uji jangan susah susah tingkat kerja"
"Bapak kalau jelaskan materi, sebaiknya lebih baik lagi karena semua yang bapak jelaskan susah dipahami","0","bapak kalau jelas materi baik lebih baik lagi karena semua yang bapak jelas susah paham"
"Pak kalo memberi materi/contoh yang lebih jelas lagi ya Pak","0","pak kalo beri materi contoh yang lebih jelas lagi ya pak"
"Good Lecture..","2","good lecture"
"Good job pak!!","2","good job pak"
"Bapak harus dapat menguasai kelas saat penyampaian materi","0","bapak harus dapat kuasa kelas saat sampai materi"
"terima kasih pak","0","terima kasih pak"
"Bapak terimakasih atas ilmunya ya","0","bapak terimakasih atas ilmu ya"
"Lanjutkan Pak..","2","lanjut pak"
"Semoga kedepannya lebih baik lagi","0","moga depan lebih baik lagi"
"Ingin diajarkan mtk teknik sama bapak lagi.","0","ingin ajar mtk teknik sama bapak lagi"
"Lebih jelas lg dlm menyampaikan materi..","0","lebih jelas lg dlm sampai materi"
"kurang greget","0","kurang greget"
"Tetap pertahankan bu cara ibu mengajar","0","tetap tahan bu cara ibu ajar"
"membuat saya untuk semakin meningkatkan belajar","0","buat saya untuk makin tingkat ajar"
"Materi kuliahnya tolong diuploud di elearning yang nggak masuk ketinggalan materi","0","materi kuliah tolong diuploud di elearning yang nggak masuk tinggal materi"
"UAS open book, Jangan terlalu cepat pindah slide","0","uas open book jangan terlalu cepat pindah slide"
"Materinya ditingkatkan dan diperbanyak contoh-contoh materi","0","materi tingkat dan banyak contoh materi"
"Materinya banyak","0","materi banyak"
"Over all ok, dari saya","2","over all ok dari saya"
"Perbanyak tugasnya","0","banyak tugas"
"Perbanyak tugasnya","0","banyak tugas"
"Tugas yang membebani","0","tugas yang beban"
"Menerangkan materi kuliah dengan life coding, pelan# dan terperinci","0","terang materi kuliah dengan life coding pelan dan perinci"
"Saat menjelaskan materi, saya harap jangan terlalu cepat, jelaskan secara detail dgn penjelasan yg mudah dicerna mahasiswa, sehingga proses mengajar berjalan dengan efektif","0","saat jelas materi saya harap jangan terlalu cepat jelas cara detail dgn jelas yg mudah cerna mahasiswa sehingga proses ajar jalan dengan efektif"
"Harap perbanyak studi kasusnya di dalam perkuliahan","0","harap banyak studi kasus di dalam kuliah"
"Menerangkan matkuliah lebih detail lagi","0","terang matkuliah lebih detail lagi"
"Dosen sudah menguasai materi dan materinya cukup bagus","0","dosen sudah kuasa materi dan materi cukup bagus"
"Memperbanyak logika algotitma","0","banyak logika algotitma"
"Mohon lebih berinteraksi dengan mahasiswa","0","mohon lebih interaksi dengan mahasiswa"
"Kurang dalam hal komunikasi","0","kurang dalam hal komunikasi"
"Untuk materi yang ditampakan di kelas untuk selalu dikirim ke elearning","0","untuk materi yang tampak di kelas untuk selalu kirim ke elearning"
"Ibu sudah menyampaikan dengan baik, tidak ada yang perlu dikomentari","0","ibu sudah sampai dengan baik tidak ada yang perlu komentar"
"Pelajaran sangat baik","0","ajar sangat baik"
"Saya doakan ibu segera bisa naik haji, bisa menjadi manusia yang lebih baik lagi amin","0","saya doa ibu segera bisa naik haji bisa jadi manusia yang lebih baik lagi amin"
"Dibanyakin tugasnya","0","dibanyakin tugas"
"Ibu ini kategori dosen yang berkualitas","0","ibu ini kategori dosen yang kualitas"
"Cara mengajarnya bisa dimengerti","0","cara ajar bisa erti"
"Menurut saya seharusnya per pertemuan itu stau materi agar lebih mudah dalam memahaminya","0","turut saya harus per temu itu stau materi agar lebih mudah dalam paham"
"Semoga lebih baik lagi dalam mengajar","0","moga lebih baik lagi dalam ajar"
"Sudah cukup untuk membuat saya termotivasi, mantab jiwa","0","sudah cukup untuk buat saya motivasi mantab jiwa"
"Semoga dapat mengajar lebih baik","0","moga dapat ajar lebih baik"
"Cara dosen mengajar sudah dapat meningkatkan minat belajar saya","0","cara dosen ajar sudah dapat tingkat minat ajar saya"
"Semoga dosen tersebut dapat menjelaskan materi lebih lanjut kepada mahasiswa yg belum mengerti","0","moga dosen sebut dapat jelas materi lebih lanjut kepada mahasiswa yg belum erti"
"Semoga panjang umur","0","moga panjang umur"
"Jangan terlalu cepat menjelaskan materi dan sering mengulang tentang materi","0","jangan terlalu cepat jelas materi dan sering ulang tentang materi"
"lebih sering berikan conto soal","0","lebih sering ikan conto soal"
"Sudah cukup baik, lebih ditingkatkan cara komunikasinya","0","sudah cukup baik lebih tingkat cara komunikasi"
"Tetap dipertahankan cara mengajarnya karena cara mengajarnya sudah bisa membentuk mahasiswa untuk memusatkan perhatian","0","tetap tahan cara ajar karena cara ajar sudah bisa bentuk mahasiswa untuk pusat perhati"
"Tetaplah diawali dengan salam dan diakhiri salam juga","0","tetap awal dengan salam dan akhir salam juga"
"Lebih dijelaskan lagi dengan menggunakan kombinasi contoh","0","lebih jelas lagi dengan guna kombinasi contoh"
"Sering memotivasi mahasiswa, baik itu masalah kuliah maupun yg lainnya","0","sering motivasi mahasiswa baik itu masalah kuliah maupun yg lain"
"Lebih banyak motivasi untuk membangkitkan semangat belajar","0","lebih banyak motivasi untuk bangkit semangat ajar"
"Proses kegiatan mengajar bisa dipertahankan","0","proses giat ajar bisa tahan"
"Hidup hanya sekali dan jadikan yang terbaik dari orang# yang baik","0","hidup hanya sekali dan jadi yang baik dari orang yang baik"
"dimohon sering masuk ya pak","0","mohon sering masuk ya pak"
"No Comment","1","no comment"
"lebih tepat waktu lagi masuknya","0","lebih tepat waktu lagi masuk"
"Lebih Semangat  Lagi ya BU","0","lebih semangat lagi ya bu"
"sedikit kencangkan volumenya pak","0","sedikit kencang volume pak"
"good lecture","2","good lecture"
"Senyum dong BU","0","senyum dong bu"
"semoga bisa menjadi dosen lebih baik lagi","0","moga bisa jadi dosen lebih baik lagi"
"Banyak-banyak istirahat ya Bu","0","banyak istirahat ya bu"
"goob job","2","goob job"
"Selalu konsisten dalam mengajar","0","selalu konsisten dalam ajar"
"Alangkah lebih baik kalau mahasiswa diberikan referensi seperti website dll untuk bahan belajar selain PPT yang diberikan","0","alangkah lebih baik kalau mahasiswa beri referensi seperti website dll untuk bahan ajar selain ppt yang beri"
"A good man","2","a good man"
"Jangan terlalau fokus kelaithan terus","0","jangan lalau fokus kelaithan terus"
"Bagus","0","bagus"
